Filename,Title,Description,Board,Destination link,Publish UTC,Keywords,Media URL
01-01-calmer-school-mornings.jpg,Calmer school mornings for kids,"Visual supports to make tough school mornings easier. Use on a phone, tablet, iPad or print only the pages you need.",REPLACE_WITH_EXISTING_SCHOOL_BOARD,REPLACE_WITH_LIVE_ETSY_URL,2026-08-23T13:00:00,"school morning visual schedule, school routine printable, calm parenting",https://raw.githubusercontent.com/NextComesCalm/Ncc-pinterest-assets/main/images/01-01-calmer-school-mornings.jpg
02-02-no-printer-required.jpg,No printer required calm school morning kit,"Keep this calm school morning kit on your phone, tablet or iPad for quick support before school. Print only if it helps your family.",REPLACE_WITH_EXISTING_SCHOOL_BOARD,REPLACE_WITH_LIVE_ETSY_URL,2026-08-23T20:00:00,"no printer required printable, school morning support, autism routine",https://raw.githubusercontent.com/NextComesCalm/Ncc-pinterest-assets/main/images/02-02-no-printer-required.jpg
03-03-hard-mornings.jpg,When school mornings feel hard,"A calm printable kit with visual supports, comfort ideas and simple communication tools for hard mornings.",REPLACE_WITH_EXISTING_SCHOOL_BOARD,REPLACE_WITH_LIVE_ETSY_URL,2026-08-24T13:00:00,"hard mornings, visual supports for kids, school transitions",https://raw.githubusercontent.com/NextComesCalm/Ncc-pinterest-assets/main/images/03-03-hard-mornings.jpg
04-04-show-what-they-need.jpg,Help kids show what they need in the morning,"Support communication, comfort and calmer school routines with an easy printable calm kit.",REPLACE_WITH_EXISTING_SCHOOL_BOARD,REPLACE_WITH_LIVE_ETSY_URL,2026-08-24T20:00:00,"communication board kids, school morning routine, printable for autism",https://raw.githubusercontent.com/NextComesCalm/Ncc-pinterest-assets/main/images/04-04-show-what-they-need.jpg
05-calmer_school_mornings_kit.jpg,My Calm School Morning Kit,"Small steps for a calmer morning. Use on a phone, tablet or iPad, or print at home.",REPLACE_WITH_EXISTING_SCHOOL_BOARD,REPLACE_WITH_LIVE_ETSY_URL,2026-08-25T13:00:00,"school morning kit, routine printable, calm kids",https://raw.githubusercontent.com/NextComesCalm/Ncc-pinterest-assets/main/images/05-calmer_school_mornings_kit.jpg
06-gentler_school_drop_off_kit.jpg,Gentler school drop-off support,"Help school drop-off feel calmer with a visual plan kids can use on a phone, tablet, iPad or in print.",REPLACE_WITH_EXISTING_SCHOOL_BOARD,REPLACE_WITH_LIVE_ETSY_URL,2026-08-25T20:00:00,"school drop off, separation anxiety support, back to school printable",https://raw.githubusercontent.com/NextComesCalm/Ncc-pinterest-assets/main/images/06-gentler_school_drop_off_kit.jpg
07-calm_first_day_school_kit.jpg,A calmer first day of school,"Prepare for the first day with visual supports, simple scripts and calm routines for kids.",REPLACE_WITH_EXISTING_SCHOOL_BOARD,REPLACE_WITH_LIVE_ETSY_URL,2026-08-26T13:00:00,"first day of school social story alternative, school prep printable, calm kids",https://raw.githubusercontent.com/NextComesCalm/Ncc-pinterest-assets/main/images/07-calm_first_day_school_kit.jpg
08-make_bus_rides_easier.jpg,Make school bus rides easier,"A calm school bus ride kit with visual steps, comfort supports and communication tools.",REPLACE_WITH_EXISTING_SCHOOL_BOARD,REPLACE_WITH_LIVE_ETSY_URL,2026-08-26T20:00:00,"school bus anxiety, bus routine printable, visual schedule kids",https://raw.githubusercontent.com/NextComesCalm/Ncc-pinterest-assets/main/images/08-make_bus_rides_easier.jpg
09-calmer_grocery_trips_kit.jpg,Calmer grocery trips with kids,An easy calm kit for grocery store trips with visual supports you can use anywhere.,REPLACE_WITH_EXISTING_GENERAL_BOARD,REPLACE_WITH_LIVE_ETSY_URL,2026-08-27T13:00:00,"grocery store printable, errands with kids, autism outing support",https://raw.githubusercontent.com/NextComesCalm/Ncc-pinterest-assets/main/images/09-calmer_grocery_trips_kit.jpg
10-calm_transitions_leaving_home_kit.jpg,Leaving the house without as much stress,A calm visual support kit for getting out the door with less friction.,REPLACE_WITH_EXISTING_GENERAL_BOARD,REPLACE_WITH_LIVE_ETSY_URL,2026-08-27T20:00:00,"leaving the house routine, transition printable, autism support",https://raw.githubusercontent.com/NextComesCalm/Ncc-pinterest-assets/main/images/10-calm_transitions_leaving_home_kit.jpg
